Disciplina;Ano;Unidade Temática;Objeto de Conhecimento;Habilidade
Língua Portuguesa;1º ano;Leitura/escuta (compartilhada e autônoma);Protocolos de leitura;(EF01LP01) Reconhecer que textos são lidos e escritos da esquerda para a direita e de cima para baixo da página.
Língua Portuguesa;1º ano;Leitura/escuta (compartilhada e autônoma);Correspondência fonema-grafema;(EF01LP02) Escrever, espontaneamente ou por ditado, palavras e frases de forma alfabética – usando letras/grafemas que representem fonemas.
Língua Portuguesa;1º ano;Escrita (compartilhada e autônoma);Construção do sistema alfabético/ Convenções da escrita;(EF01LP03) Observar escritas convencionais, comparando-as às suas produções escritas, percebendo semelhanças e diferenças.
Língua Portuguesa;1º ano;Escrita (compartilhada e autônoma);Conhecimento do alfabeto do português do Brasil;(EF01LP04) Distinguir as letras do alfabeto de outros sinais gráficos.
Língua Portuguesa;1º ano;Escrita (compartilhada e autônoma);Construção do sistema alfabético;(EF01LP05) Reconhecer o sistema de escrita alfabética como representação dos sons da fala.
Língua Portuguesa;1º ano;Escrita (compartilhada e autônoma);Construção do sistema alfabético e da ortografia;(EF01LP06) Segmentar oralmente palavras em sílabas.
Língua Portuguesa;1º ano;Escrita (compartilhada e autônoma);Construção do sistema alfabético e da ortografia;(EF01LP07) Identificar fonemas e sua representação por letras.
Língua Portuguesa;1º ano;Escrita (compartilhada e autônoma);Construção do sistema alfabético e da ortografia;(EF01LP08) Relacionar elementos sonoros (sílabas, fonemas, partes de palavras) com sua representação escrita.
Língua Portuguesa;1º ano;Escrita (compartilhada e autônoma);Construção do sistema alfabético e da ortografia;(EF01LP09) Comparar palavras, identificando semelhanças e diferenças entre sons de sílabas iniciais.
Língua Portuguesa;1º ano;Análise linguística/semiótica (Alfabetização);Conhecimento do alfabeto do português do Brasil;(EF01LP10) Nomear as letras do alfabeto e recitá-lo na ordem das letras.
Língua Portuguesa;1º ano;Análise linguística/semiótica (Alfabetização);Conhecimento das diversas grafias do alfabeto/ Acentuação;(EF01LP11) Conhecer, diferenciar e relacionar letras em formato imprensa e cursiva, maiúsculas e minúsculas.
Língua Portuguesa;1º ano;Análise linguística/semiótica (Alfabetização);Segmentação de palavras/Classificação de palavras por número de sílabas;(EF01LP12) Reconhecer a separação das palavras, na escrita, por espaços em branco.
Língua Portuguesa;1º ano;Análise linguística/semiótica (Alfabetização);Construção do sistema alfabético;(EF01LP13) Comparar palavras, identificando semelhanças e diferenças entre sons de sílabas mediais e finais.
Língua Portuguesa;1º ano;Análise linguística/semiótica (Alfabetização);Pontuação;(EF01LP14) Identificar outros sinais no texto além das letras, como pontos finais, de interrogação e exclamação e seus efeitos na entonação.
Língua Portuguesa;1º ano;Análise linguística/semiótica (Alfabetização);Sinonímia e antonímia/Morfologia/Pontuação;(EF01LP15) Agrupar palavras pelo critério de aproximação de significado (sinonímia) e separar palavras pelo critério de oposição de significado (antonímia).
Língua Portuguesa;1º ano;Análise linguística/semiótica (Alfabetização);Compreensão em leitura;(EF01LP16) Ler e compreender, em colaboração com os colegas e com a ajuda do professor, quadras, quadrinhas, parlendas, trava-línguas, dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto do texto e relacionando sua forma de organização à sua finalidade.
Língua Portuguesa;1º ano;Análise linguística/semiótica (Alfabetização);Escrita autônoma e compartilhada;(EF01LP17) Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, listas, agendas, calendários, avisos, convites, receitas, instruções de montagem e legendas para álbuns, fotos ou ilustrações (digitais ou impressos), dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto/ finalidade do texto.
Língua Portuguesa;1º ano;Análise linguística/semiótica (Alfabetização);Escrita autônoma e compartilhada;(EF01LP18) Registrar, em colaboração com os colegas e com a ajuda do professor, cantigas, quadras, quadrinhas, parlendas, trava-línguas, dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto/finalidade do texto.
Língua Portuguesa;1º ano;Análise linguística/semiótica (Alfabetização);Produção de texto oral;(EF01LP19) Recitar parlendas, quadras, quadrinhas, trava-línguas, com entonação adequada e observando as rimas.
Língua Portuguesa;1º ano;Análise linguística/semiótica (Alfabetização);Forma de composição do texto;(EF01LP20) Identificar e reproduzir, em listas, agendas, calendários, regras, avisos, convites, receitas, instruções de montagem e legendas para álbuns, fotos ou ilustrações (digitais ou impressos), a formatação e diagramação específica de cada um desses gêneros.
