C¢digo;Faixa Et ria;Campo de Experiˆncias;Objetivo de Aprendizagem e Desenvolvimento
EI01EO01;Bebˆs (zero a 1 ano e 6 meses);O eu, o outro e o n¢s;Perceber que suas a‡?es tˆm efeitos nas outras crian‡as e nos adultos.
EI02EO01;Crian‡as bem pequenas (1a 7m a 3a 11m);O eu, o outro e o n¢s;Demonstrar atitudes de cuidado e solidariedade na intera‡?o com crian‡as e adultos.
EI03EO01;Crian‡as pequenas (4a a 5a 11m);O eu, o outro e o n¢s;Demonstrar empatia pelos outros, percebendo que as pessoas tˆm diferentes sentimentos, necessidades e maneiras de pensar e agir.
EI01EO02;Bebˆs (zero a 1 ano e 6 meses);O eu, o outro e o n¢s;Perceber as possibilidades e os limites de seu corpo nas brincadeiras e intera‡?es das quais participa.
EI02EO02;Crian‡as bem pequenas (1a 7m a 3a 11m);O eu, o outro e o n¢s;Demonstrar imagem positiva de si e confian‡a em sua capacidade para enfrentar dificuldades e desafios.
EI03EO02;Crian‡as pequenas (4a a 5a 11m);O eu, o outro e o n¢s;Agir de maneira independente, com confian‡a em suas capacidades, reconhecendo suas conquistas e limita‡?es.
EI01EO03;Bebˆs (zero a 1 ano e 6 meses);O eu, o outro e o n¢s;Interagir com crian‡as da mesma faixa et ria e adultos ao explorar espa‡os, materiais, objetos, brinquedos.
EI02EO03;Crian‡as bem pequenas (1a 7m a 3a 11m);O eu, o outro e o n¢s;Compartilhar os objetos e os espa‡os com crian‡as da mesma faixa et ria e adultos.
EI03EO03;Crian‡as pequenas (4a a 5a 11m);O eu, o outro e o n¢s;Ampliar as rela‡?es interpessoais, desenvolvendo atitudes de participa‡?o e coopera‡?o.
EI01EO04;Bebˆs (zero a 1 ano e 6 meses);O eu, o outro e o n¢s;Comunicar necessidades, desejos e emo‡?es, utilizando gestos, balbucios, palavras.
EI02EO04;Crian‡as bem pequenas (1a 7m a 3a 11m);O eu, o outro e o n¢s;Comunicar-se com os colegas e os adultos, buscando compreendˆ-los e fazendo-se compreender.
EI03EO04;Crian‡as pequenas (4a a 5a 11m);O eu, o outro e o n¢s;Comunicar suas ideias e sentimentos a pessoas e grupos diversos.
EI01EO05;Bebˆs (zero a 1 ano e 6 meses);O eu, o outro e o n¢s;Reconhecer seu corpo e expressar suas sensa‡?es em momentos de alimenta‡?o, higiene, brincadeira e descanso.
